,Fighter_1,Fighter_2,F1_W,F1_W_media,Judge-1-Name,Judge-2-Name,Judge-3-Name,Judge-1-Score,Judge-2-Score,Judge-3-Score,Judge-1-Agreement,Judge-2-Agreement,Judge-3-Agreement,Cluster,media_Agreement,Judge-1-Agreement_media,Judge-2-Agreement_media,Judge-3-Agreement_media
136,Cb Dollaway,Daniel Sarafian,1,1,Mark Collett,Howard Hughes,Chris Lee,29-28,28-29,29-28,1,0,1,3,1,1,0,1
137,Godofredo Pepey,Milton Vieira,1,0,Mark Collett,Sal D'Amato,Howard Hughes,29-28,29-28,28-29,1,1,0,5,0,0,0,1
138,Clay Guida,Hatsu Hioki,1,0,Sal D'Amato,Gabriel Sabaitis,Rick Winter,29-28,30-27,28-29,1,1,0,4,0,0,0,1
139,Isaac Vallie-Flagg,Yves Edwards,1,1,Junichiro Kamijo,Patricia Morse Jarman,Mark Smith,28-29,29-28,29-28,0,1,1,3,1,0,1,1
140,Evan Dunham,Gleison Tibau,1,1,Jeff Collins,Sal D'Amato,Junichiro Kamijo,28-29,29-28,29-28,0,1,1,3,1,0,1,1
141,Caros Fodor,Sam Stout,0,0,Mike Beltran,Derek Cleary,Cecil Peoples,29-28,28-29,29-28,1,0,1,1,1,1,0,1
142,Dennis Bermudez,Matt Grice,1,0,Michael Bell,Mike Beltran,Wade Vierra,29-28,29-28,28-29,1,1,0,0,0,0,0,1
143,Dan Henderson,Lyoto Machida,0,0,Michael Bell,Derek Cleary,Cecil Peoples,29-28,29-28,28-29,1,1,0,4,1,1,1,0
144,Bryan Caraway,Takeya Mizugaki,0,0,Ben Cartlidge,Junichiro Kamijo,Chris Watts,28-29,29-28,29-28,0,1,1,1,1,0,1,1
145,Diego Sanchez,Takanori Gomi,1,0,Ben Cartlidge,Barry Foley,Chris Watts,28-29,29-28,29-28,0,1,1,3,0,1,0,0
146,Hector Lombard,Yushin Okami,0,0,Barry Foley,Junichiro Kamijo,Charlie Keech,29-28,29-28,28-29,1,1,0,2,1,1,1,0
147,Chris Camozzi,Nick Ring,1,1,Richard Bertrand,Sal D'Amato,Benoit Roussel,29-28,29-28,28-29,1,1,0,3,1,1,1,0
148,Brad Pickett,Mike Easton,1,1,Mark Collett,Howard Hughes,Andreas Ramsby,30-27,30-27,28-29,1,1,0,3,1,1,1,0
149,Besam Yousef,Papy Abedi,0,1,Jim Bergman,Howard Hughes,Andreas Ramsby,29-28,29-28,28-29,1,1,0,2,0,0,0,1
150,Kelvin Gastelum,Uriah Hall,1,1,Adalaide Byrd,Sal D'Amato,Junichiro Kamijo,29-28,28-29,29-28,1,0,1,4,1,1,0,1
151,Benson Henderson,Gilbert Melendez,1,1,Michael Bell,Derek Cleary,Wade Vierra,48-47,48-47,47-48,1,1,0,3,1,1,1,0
152,Dennis Bermudez,Max Holloway,1,0,Lester Griffin,Mark Smith,Tony Weeks,29-28,29-28,28-29,1,1,0,3,0,0,0,1
153,Mike Pyle,Rick Story,1,0,Dave Hagen,Junichiro Kamijo,Chris Lee,29-28,29-28,28-29,1,1,0,5,0,0,0,1
154,Mizuto Hirota,Rodrigo Damm,0,0,Mark Collett,Glenn Trowbridge,Dean Weir,28-29,29-28,29-28,0,1,1,3,1,0,1,1
155,Dustin Pague,Yves Jabouin,0,1,Dr. Greg Jackson,Jason Rodgers,Sal Signorino,28-29,29-28,29-28,0,1,1,4,0,1,0,0
156,Jake Shields,Tyron Woodley,1,1,Richard Bertrand,Sal D'Amato,Chris Lee,29-28,29-28,27-30,1,1,0,3,1,1,1,0
157,Dan Henderson,Rashad Evans,0,0,Sal D'Amato,Dr. Greg Jackson,Chris Lee,29-28,28-29,29-28,1,0,1,4,1,1,0,1
158,Andrew Craig,Chris Leben,1,1,Junichiro Kamijo,Marcos Rosales,Mark Smith,29-28,30-27,28-29,1,1,0,5,1,1,1,0
159,Ed Herman,Trevor Smith,1,1,Sal D'Amato,Lester Griffin,Chris Lee,27-30,29-28,30-27,0,1,1,3,1,0,1,1
160,Aaron Riley,Justin Salas,0,0,Sal D'Amato,Chris Lee,Lamont Nelson,29-28,29-28,28-29,1,1,0,3,1,1,1,0
161,Germaine De Randamie,Julie Kedzie,1,1,Terry Boehlke,Lester Griffin,Lamont Nelson,30-27,28-29,29-28,1,0,1,5,1,1,0,1
162,Daron Cruickshank,Yves Edwards,1,0,Terry Boehlke,Lester Griffin,Glenn Hamada,27-30,30-27,30-27,0,1,1,3,0,1,0,0
163,John Howard,Uriah Hall,1,1,Douglas Crosby,Steve Rita,Ryan Shea,29-28,28-29,30-27,1,0,1,4,1,1,0,1
164,Court Mcgee,Robert Whittaker,1,1,Kelvin Caldwell,Sal D'Amato,Robert Madrigal,27-30,30-27,29-28,0,1,1,3,1,0,1,1
165,Erik Perez,Takeya Mizugaki,0,0,Kelvin Caldwell,David Hinkel,Glenn Trowbridge,29-28,29-28,28-29,1,1,0,1,1,1,1,0
166,Gleison Tibau,Jamie Varner,1,1,Sal D'Amato,Brian Puccillo,Otto Torriero,29-28,29-28,27-29,1,1,0,4,1,1,1,0
167,Sean Spencer,Yuri Villefort,1,1,Guilherme Bravo,Ben Cartlidge,Howard Hughes,30-27,29-28,28-29,1,1,0,0,1,1,1,0
168,Kevin Souza,Felipe Arantes,1,1,Howard Hughes,Roy Silbert,Glenn Trowbridge,28-29,29-28,29-28,0,1,1,5,1,0,1,1
169,Alex Caceres,Roland Delorme,1,1,Brian Beauchamp,Graham Bettes,Benoit Roussel,28-29,29-28,29-28,0,1,1,5,1,0,1,1
170,Mike Ricci,Myles Jury,0,0,Richard Bertrand,Douglas Crosby,Chris Lee,29-28,28-29,29-28,1,0,1,2,1,1,0,1
171,Jesse Ronson,Michel Prazeres,0,0,Brian Beauchamp,Graham Bettes,Benoit Roussel,28-29,29-28,29-28,0,1,1,2,1,0,1,1
172,Demian Maia,Jake Shields,0,0,Richard Bertrand,Guilherme Bravo,Sal D'Amato,48-47,47-48,48-47,1,0,1,2,1,1,0,1
173,Fabio Maldonado,Joey Beltran,1,0,Richard Bertrand,Guilherme Bravo,Sal D'Amato,28-29,29-28,29-28,0,1,1,3,0,1,0,0
174,Raphael Assuncao,Tj Dillashaw,1,0,Richard Bertrand,Sal D'Amato,Brian Puccillo,29-28,28-29,29-28,1,0,1,4,0,0,1,0
175,Cb Dollaway,Tim Boetsch,0,0,Gino Garcia,Ruben Najera,Jon Schorle,27-29,30-26,30-26,0,1,1,1,1,0,1,1
176,Cezar Ferreira,Daniel Sarafian,1,1,Douglas Crosby,Marcos Rosales,Otto Torriero,30-28,28-29,30-27,1,0,1,4,1,1,0,1
177,Robbie Lawler,Rory Macdonald,1,1,Cecil Peoples,Mark Smith,Glenn Trowbridge,29-28,29-28,28-29,1,1,0,5,1,1,1,0
178,Georges St-Pierre,Johny Hendricks,1,0,Sal D'Amato,Glenn Trowbridge,Tony Weeks,48-47,47-48,48-47,1,0,1,0,0,0,1,0
179,Rani Yahya,Tom Niinimaki,0,0,Chris Lee,Patricia Morse Jarman,Tony Weeks,29-28,28-29,30-27,1,0,1,2,1,1,0,1
180,Bethe Correia,Julie Kedzie,1,1,Barry Foley,Peter Hickmott,Charlie Keech,29-28,28-29,29-28,1,0,1,3,1,1,0,1
181,Alptekin Ozkilic,Darren Uyenoyama,1,1,Michael Bell,Edward Collantes,Marcos Rosales,29-28,28-29,30-27,1,0,1,4,1,1,0,1
182,Brian Houston,Trevor Smith,0,0,Richard Bertrand,Derek Cleary,Ken Coffey,29-28,28-29,29-28,1,0,1,4,1,1,0,1
183,Dustin Ortiz,John Moraga,0,1,Richard Bertrand,Nate Mann,Glenn Trowbridge,29-28,29-28,28-29,1,1,0,1,0,0,0,1
184,Benson Henderson,Josh Thomson,1,0,Sal D'Amato,Brian Puccillo,Gabriel Sabaitis,49-46,48-47,47-48,1,1,0,5,0,0,0,1
185,Nick Catone,Tom Watson,1,1,Michelle Agustin,Tony Tamburrino,Cardo Urso,30-27,29-28,28-29,1,1,0,4,1,1,1,0
186,Iuri Alcantara,Wilson Reis,1,1,Richard Bertrand,Vinicius Lins,Tony Weeks,30-27,30-27,28-29,1,1,0,5,1,1,1,0
187,Francisco Trinaldo,Jesse Ronson,1,1,Marco Aurelio Borges,Vinicius Lins,Tony Weeks,28-29,29-28,30-27,0,1,1,3,1,0,1,1
188,Albert Tumenov,Ildemar Alcantara,0,0,Marco Aurelio Borges,Vinicius Lins,Tony Weeks,28-29,30-27,29-28,0,1,1,2,1,0,1,1
189,Ernest Chavez,Yosdenis Cedeno,1,1,Junichiro Kamijo,Mark Smith,Tony Weeks,30-27,29-28,28-29,1,1,0,4,1,1,1,0
190,Alexis Davis,Jessica Eye,1,1,Junichiro Kamijo,Chris Lee,Marcos Rosales,29-28,28-29,29-28,1,0,1,4,1,1,0,1
191,Kazuki Tokudome,Yui Chul Nam,0,0,Tom Harris,Howard Hughes,Chris Watts,29-27,29-28,27-28,1,1,0,1,1,1,1,0
192,Wang Sai,Lipeng Zhang,0,1,Tom Harris,Howard Hughes,Chris Watts,27-30,29-28,29-28,0,1,1,2,0,1,0,0
193,Alex Garcia,Sean Spencer,1,1,Aladin Martinez,Dan Mathisen,Troy Wincapaw,30-27,28-29,29-28,1,0,1,4,1,1,0,1
194,Jessica Andrade,Raquel Pennington,1,1,Aladin Martinez,Dan Mathisen,Troy Wincapaw,29-28,28-29,29-28,1,0,1,3,1,1,0,1
195,Kelvin Gastelum,Rick Story,1,0,Douglas Crosby,Mike Gonzalez,Aladin Martinez,28-29,30-27,29-28,0,1,1,3,0,1,0,0
196,Francimar Barroso,Hans Stringer,0,1,Fernando Amaral,Richard Bertrand,Guilherme Bravo,29-28,28-29,29-28,1,0,1,4,0,0,1,0
197,Alan Omer,Jim Alers,0,0,Howard Hughes,Andy Roberts,Dean Weir,29-28,29-28,28-29,1,1,0,2,1,1,1,0
198,Mark Bocek,Mike De La Torre,1,1,Richard Bertrand,Sal D'Amato,Erick Philippeaux,28-29,29-28,30-27,0,1,1,3,1,0,1,1
199,Chad Laprise,Olivier Aubin-Mercier,1,1,Sal D'Amato,Erick Philippeaux,David Therien,30-27,28-29,29-28,1,0,1,5,1,1,0,1
200,Hernani Perpetuo,Jordan Mein,0,0,Richard Bertrand,Derek Cleary,Jean Warring,29-28,29-28,28-29,1,1,0,4,1,1,1,0
201,Dustin Ortiz,Ray Borg,1,0,Derek Cleary,Hector Gomez,Chris Lee,29-28,28-29,29-28,1,0,1,5,0,0,1,0
202,Chris Cariaso,Louis Smolka,1,1,Sal D'Amato,Chris Lee,Cardo Urso,28-29,29-28,29-28,0,1,1,5,1,0,1,1
203,David Michaud,Li Jingliang,0,0,Dave Hagen,Junichiro Kamijo,Tony Weeks,28-29,29-28,30-27,0,1,1,3,1,0,1,1
204,Robbie Peralta,Rony Jason,1,1,Richard Bertrand,Chris Lee,Vinicius Lins,29-28,30-27,27-30,1,1,0,5,1,1,1,0
205,Luke Barnatt,Sean Strickland,0,1,Mark Collett,Andy Haigh,Howard Hughes,28-29,30-27,29-28,0,1,1,3,0,1,0,0
206,Diego Sanchez,Ross Pearson,1,0,Jeff Collins,Marcos Rosales,Chris Tellez,30-27,27-30,29-28,1,0,1,3,0,0,1,0
207,Andrei Arlovski,Brendan Schaub,1,0,Sal D'Amato,David Therien,Tony Weeks,29-28,29-28,28-29,1,1,0,4,0,0,0,1
208,Elizabeth Phillips,Valerie Letourneau,0,0,John Cooper,Sal D'Amato,David Therien,29-28,29-28,28-29,1,1,0,0,1,1,1,0
209,Andy Enz,Marcelo Guimaraes,0,0,Aladin Martinez,Juan Munoz,Joe Soliz,29-28,29-28,27-30,1,1,0,3,1,1,1,0
210,Antonio Braga Neto,Clint Hester,0,1,Sal D'Amato,Aladin Martinez,Joe Soliz,28-29,29-28,29-28,0,1,1,1,0,1,0,0
211,Gian Villante,Sean O'Connell,1,1,Anthony Dimitriou,Charlie Keech,Kon Papaioannou,29-28,28-29,29-28,1,0,1,0,1,1,0,1
212,James Moontasri,Joe Ellenberger,0,1,Aladin Martinez,Juan Munoz,Joe Soliz,28-29,29-28,29-28,0,1,1,2,0,1,0,0
213,Marcus Brimage,Russell Doane,0,1,Sal D'Amato,Junichiro Kamijo,Marcos Rosales,28-29,29-28,30-27,0,1,1,2,0,1,0,0
214,Bruno Santos,Chris Camozzi,1,1,Douglas Crosby,Chris Lee,Glenn Trowbridge,28-29,29-28,29-28,0,1,1,4,1,0,1,1
215,Dustin Ortiz,Justin Scoggins,1,0,Adalaide Byrd,Sal D'Amato,Chris Lee,28-29,29-28,29-28,0,1,1,5,0,1,0,0
216,Jesse Ronson,Kevin Lee,0,0,Marcos Rosales,Roy Silbert,Glenn Trowbridge,30-27,29-28,28-29,1,1,0,2,1,1,1,0
217,Bobby Green,Josh Thomson,1,1,Michael Bell,Edward Collantes,Wade Vierra,28-29,29-28,29-28,0,1,1,3,1,0,1,1
218,Lauren Murphy,Sara Mcmann,0,0,Lars Borssen,Chris Lee,William McKinnon,29-28,28-29,29-28,1,0,1,2,1,1,0,1
219,Elizabeth Phillips,Milana Dudieva,0,1,Anthony Dimitriou,Garth Harriman,Howard Hughes,30-27,28-29,29-28,1,0,1,4,0,0,1,0
220,Royston Wee,Yao Zhikui,1,0,Howard Hughes,Charlie Keech,Paul Sutherland,29-28,27-30,29-28,1,0,1,4,0,0,1,0
221,Danny Castillo,Tony Ferguson,0,0,Michael Bell,Derek Cleary,Larry Landless,29-28,29-28,28-29,1,1,0,1,1,1,1,0
222,Chris Camozzi,Rafael Natal,0,1,Sal D'Amato,Sue Sanidad,Glenn Trowbridge,29-28,29-28,28-29,1,1,0,2,0,0,0,1
223,Kiichi Kunimoto,Rich Walsh,1,0,Mark Collett,Kon Papaioannou,Tony Weeks,28-29,29-28,29-28,0,1,1,4,0,1,0,0
224,Kyung Ho Kang,Michinori Tanaka,1,1,Thomas Fan,Junichiro Kamijo,Kon Papaioannou,29-28,28-29,29-28,1,0,1,5,1,1,0,1
225,Brian Ebersole,John Howard,1,0,Lester Griffin,Marcos Rosales,Cardo Urso,29-28,29-28,28-29,1,1,0,5,0,0,0,1
226,Jason Saggo,Paul Felder,0,1,Chris Lee,Robert MacAvoy,Craig Smith,28-29,29-28,29-28,0,1,1,1,0,1,0,0
227,Li Jingliang,Nordine Taleb,0,0,Chris Lee,Robert MacAvoy,Craig Smith,28-29,29-28,30-27,0,1,1,3,1,0,1,1
228,Cathal Pendred,Gasan Umalatov,1,0,Mark Collett,Jespar Gunnarson,Paul Sutherland,29-28,29-28,28-29,1,1,0,4,0,0,0,1
229,Gunnar Nelson,Rick Story,0,0,Jim Bergman,Mark Collett,Paul Sutherland,47-48,49-46,50-44,0,1,1,0,1,0,1,1
230,Darren Elkins,Lucas Martins,1,1,Richard Bertrand,Eric Colón,Vinicius Lins,30-27,30-27,27-30,1,1,0,4,1,1,1,0
231,Claudio Silva,Leon Edwards,1,0,Guilherme Bravo,Derek Cleary,Roy Silbert,28-29,29-28,29-28,0,1,1,4,0,1,0,0
232,Luke Barnatt,Roger Narvaez,0,0,Marcos Rosales,Jon Schorle,Anthony Townsend,29-28,28-29,29-28,1,0,1,3,1,1,0,1
233,Brad Pickett,Chico Camus,0,1,Marcos Rosales,Jon Schorle,Anthony Townsend,29-28,27-30,29-28,1,0,1,3,0,0,1,0
234,Johny Hendricks,Robbie Lawler,0,1,Sal D'Amato,Marcos Rosales,Glenn Trowbridge,47-48,48-47,49-46,0,1,1,0,0,1,0,0
235,Jessica Penne,Randa Markos,1,1,Lester Griffin,Junichiro Kamijo,Tony Weeks,28-29,30-27,29-28,0,1,1,4,1,0,1,1
236,Claudia Gadelha,Joanna Jedrzejczyk,0,1,Derek Cleary,Chris Flores,Marcos Rosales,29-28,29-28,28-29,1,1,0,1,0,0,0,1
237,Marcio Alexandre Jr.,Tim Means,0,0,Fernando Amaral,Lester Griffin,Tony Weeks,29-28,29-28,28-29,1,1,0,4,1,1,1,0
238,Gleison Tibau,Norman Parke,1,1,Sal D'Amato,Chris Lee,Steve Rita,29-28,29-28,28-29,1,1,0,4,1,1,1,0
239,Joby Sanchez,Tateki Matsuda,1,1,Douglas Crosby,Mike Mena,Steve Rita,28-29,30-27,29-28,0,1,1,3,1,0,1,1
240,Phil Davis,Ryan Bader,0,0,Mark Collett,Mans Nilsson,Andy Roberts,28-29,29-28,29-28,0,1,1,4,1,0,1,1
241,Kelvin Gastelum,Tyron Woodley,0,0,Adalaide Byrd,Chris Lee,Tony Weeks,29-28,28-29,30-27,1,0,1,3,1,1,0,1
242,Ildemar Alcantara,Richardson Moreira,1,1,Lester Griffin,Junichiro Kamijo,Tony Weeks,29-28,28-29,29-28,1,0,1,4,1,1,0,1
243,Adriano Martins,Rustam Khabilov,1,1,Marco Aurelio Borges,Guilherme Bravo,Marcos Rosales,29-28,29-28,28-29,1,1,0,4,1,1,1,0
244,Alex Torres,Masio Fullen,0,0,Ron McCarthy,Marcos Rosales,Wade Vierra,29-28,29-28,28-29,1,1,0,1,1,1,1,0
245,James Krause,Valmir Lazaro,0,0,Michael Bell,Marcos Rosales,Wade Vierra,28-29,29-28,29-28,0,1,1,0,1,0,1,1
246,Holly Holm,Raquel Pennington,1,1,Derek Cleary,Ron McCarthy,Wade Vierra,28-29,30-27,29-28,0,1,1,3,1,0,1,1
247,Al Iaquinta,Jorge Masvidal,1,0,Douglas Crosby,Dave Tirelli,Cardo Urso,27-30,29-28,29-28,0,1,1,3,0,1,0,0
248,Chris Dempsey,Eddie Gordon,1,0,Michelle Agustin,Michael Depasquale Jr.,Cardo Urso,29-28,28-29,29-28,1,0,1,4,0,0,1,0
249,Jonavin Webb,Kyle Noke,0,1,Barry Foley,Charlie Keech,Christopher Shen,29-28,29-28,27-30,1,1,0,4,0,0,0,1
250,Phillipe Nover,Yui Chul Nam,1,0,Mark Craig,Barry Foley,Kon Papaioannou,29-28,28-29,29-28,1,0,1,4,0,0,1,0
251,Nolan Ticman,Yao Zhikui,0,1,Evan Field,Barry Foley,Christopher Shen,29-28,28-29,29-28,1,0,1,4,0,0,1,0
252,Levan Makashvili,Mark Eddiva,1,1,Evan Field,Kon Papaioannou,Christopher Shen,29-28,28-29,30-27,1,0,1,4,1,1,0,1
253,Rafael Natal,Uriah Hall,1,0,Sal D'Amato,Junichiro Kamijo,Patricia Morse Jarman,29-28,29-28,28-29,1,1,0,4,0,0,0,1
254,Elizeu Zaleski Dos Santos,Nicolas Dalby,0,0,Guilherme Bravo,Felipe Frank,Rick Winter,29-28,29-28,28-29,1,1,0,2,1,1,1,0
255,Jake Collier,Ricardo Abreu,1,0,Myron Gaudet,Robbie Scheuermann,Cardo Urso,29-28,29-28,28-29,1,1,0,5,0,0,0,1
256,Charles Rosa,Yair Rodriguez,0,0,Derek Cleary,Chris Lee,Glenn Trowbridge,29-28,29-28,28-29,1,1,0,1,1,1,1,0
257,Eddie Alvarez,Gilbert Melendez,1,1,Derek Cleary,Sal D'Amato,Chris Lee,29-28,29-28,28-29,1,1,0,4,1,1,1,0
258,Hacran Dias,Levan Makashvili,1,1,Richard Bertrand,Hector Gomez,Eliseo Rodriguez,29-28,29-28,28-29,1,1,0,4,1,1,1,0
259,Cathal Pendred,John Howard,0,0,Adalaide Byrd,Marcos Rosales,Tony Weeks,29-28,29-28,28-29,1,1,0,3,1,1,1,0
260,Masanori Kanehara,Rani Yahya,0,1,Michael Bell,Mike Beltran,Mark Smith,29-28,29-28,28-29,1,1,0,2,0,0,0,1
261,Michael Bisping,Thales Leites,1,1,Mark Collett,Howard Hughes,Paul Sutherland,49-46,48-47,47-48,1,1,0,0,1,1,1,0
262,Andrew Holbrook,Ramsey Nijem,1,0,Kelvin Caldwell,Brian Puccillo,Rick Winter,29-28,28-29,29-28,1,0,1,5,0,0,1,0
263,Ben Saunders,Kenny Robertson,1,1,Kelvin Caldwell,Sal D'Amato,Rick Winter,29-28,28-29,29-28,1,0,1,0,1,1,0,1
264,Danny Castillo,Jim Miller,0,0,Sal D'Amato,Brian Puccillo,Rick Winter,28-29,29-28,30-27,0,1,1,4,1,0,1,1
265,Beneil Dariush,Michael Johnson,1,0,Richard Bertrand,Douglas Crosby,Sal D'Amato,29-28,29-28,28-29,1,1,0,3,0,0,0,1
266,Frankie Saenz,Sirwan Kakai,1,1,Richard Bertrand,Derek Cleary,Chris Lee,30-27,28-29,30-27,1,0,1,5,1,1,0,1
267,Chris Beal,Chris Kelades,0,1,Sal D'Amato,Dr. Greg Jackson,David Therien,29-28,29-28,27-30,1,1,0,4,0,0,0,1
268,Paul Felder,Ross Pearson,0,0,Adalaide Byrd,Derek Cleary,Cardo Urso,30-27,29-28,28-29,1,1,0,3,1,1,1,0
269,Joaquim Silva,Nazareno Malegarie,1,0,Adalaide Byrd,Marcos Rosales,Cardo Urso,30-27,30-27,28-29,1,1,0,3,0,0,0,1
270,Alexander Gustafsson,Daniel Cormier,0,0,Derek Cleary,Sal D'Amato,Kerry Hatley,47-48,48-47,49-46,0,1,1,0,1,0,1,1
271,Krzysztof Jotko,Scott Askham,1,0,Andy Haigh,Paul Sutherland,Dean Weir,29-28,28-29,29-28,1,0,1,4,0,0,1,0
272,Jimmie Rivera,Pedro Munhoz,1,1,Marco Aurelio Borges,Derek Cleary,Alessandro Vieira,29-28,28-29,29-28,1,0,1,3,1,1,0,1
