Date,Event-Code,Total-Rounds,Fighter_1,Fighter_2,F1_W,Decision - Split,Judge-1-Name,F1_Judge-1-Score,Judge-2-Name,F1_Judge-2-Score,Judge-3-Name,F1_Judge-3-Score,F1_Knockdowns,F1_Significant-Strike-Land,F1_Significant-Strike-Attempt,F1_Total-Strikes-Land,F1_Total-Strikes-Attempt,F1_Takedown-Success,F1_Takedown-Land,F1_Control-Time-Sec,F2_Date,F2_W,F2_Judge-1-Score,F2_Judge-2-Score,F2_Judge-3-Score,F2_Knockdowns,F2_Significant-Strike-Land,F2_Significant-Strike-Attempt,F2_Total-Strikes-Land,F2_Total-Strikes-Attempt,F2_Takedown-Success,F2_Takedown-Land,F2_Control-Time-Sec,Knockdowns_Diff,Significant-Strike-Land_Diff,Significant-Strike-Attempt_Diff,Total-Strikes-Land_Diff,Total-Strikes-Attempt_Diff,Takedown-Success_Diff,Takedown-Land_Diff,Control-Time-Sec_Diff
2003-02-28,bba678d312590087,3,Din Thomas,Matt Serra,1,1,Douglas Crosby,28 - 30,Nelson Hamilton,29 - 28,Steve Rice,28 - 29,0,29,61,59,92,0,0,105,2003-02-28 00:00:00,0,30 - 28,28 - 29,29 - 28,0,26,81,42,97,1,28,86,0,3,-20,17,-5,-1,-28,19
2004-04-02,e8fb8e53bc2e29d6,3,Hermes Franca,Yves Edwards,0,1,Cecil Peoples,29 - 28,Dalby Shirley,28 - 29,Tony Weeks,29 - 28,0,8,44,63,104,4,10,227,2004-04-02 00:00:00,1,28 - 29,29 - 28,28 - 29,0,21,43,66,92,0,0,291,0,13,-1,3,-12,-4,-10,64
2004-08-21,b4bc2e3353a770b5,3,Karo Parisyan,Nick Diaz,1,1,Cecil Peoples,29 - 28,Marcos Rosales,28 - 29,Dalby Shirley,27 - 30,0,27,79,48,104,9,15,414,2004-08-21 00:00:00,0,28 - 29,29 - 28,30 - 27,0,37,102,121,189,1,2,78,0,-10,-23,-73,-85,8,13,336
2005-02-05,85d905f7c4f5a1af,3,Tito Ortiz,Vitor Belfort,1,1,Nelson Hamilton,28 - 29,Jeff Mullen,28 - 29,Cecil Peoples,29 - 28,0,27,47,101,130,4,11,563,2005-02-05 00:00:00,0,29 - 28,29 - 28,28 - 29,0,19,38,44,65,0,0,186,0,8,9,57,65,4,11,377
2005-08-06,3f24c96753dbd9f9,3,Chris Leben,Patrick Cote,1,1,Jon Schorle,28 - 29,Dalby Shirley,29 - 27,Roy Silbert,27 - 30,0,26,63,185,234,1,5,547,2005-08-06 00:00:00,0,29 - 28,27 - 29,30 - 27,0,26,63,30,67,1,2,121,0,0,0,155,167,0,3,426
2005-11-05,31ceaf0e670c1578,3,Brad Imes,Rashad Evans,0,1,Abe Belardo,29 - 28,Nelson Hamilton,28 - 29,Tony Weeks,28 - 29,0,42,164,45,168,2,3,95,2005-11-05 00:00:00,1,28 - 29,29 - 28,29 - 28,2,48,96,53,103,0,0,128,2,6,-68,8,-65,-2,-3,33
2006-03-04,0e9869d712e81f8f,3,BJ Penn,Georges St-Pierre,0,1,Nelson Hamilton,29 - 28,Cecil Peoples,28 - 29,Marcos Rosales,29 - 28,0,37,85,101,156,1,1,18,2006-03-04 00:00:00,1,29 - 28,28 - 29,29 - 28,0,59,135,135,212,4,5,445,0,22,50,34,56,3,4,427
2006-03-04,0e9869d712e81f8f,3,Sam Stout,Spencer Fisher,1,1,Lester Griffin,29 - 28,Cecil Peoples,28 - 29,Glenn Trowbridge,29 - 28,0,62,183,76,199,0,0,60,2006-03-04 00:00:00,0,28 - 29,29 - 28,28 - 29,0,53,148,77,172,4,9,259,0,9,35,-1,27,-4,-9,-199
2006-04-06,b361180739bed4b0,3,Rashad Evans,Sam Hoger,1,1,Raul Porrata,30 - 27,Marcos Rosales,29 - 28,Glenn Trowbridge,28 - 29,0,23,72,46,95,9,11,563,2006-04-06 00:00:00,0,27 - 30,28 - 29,29 - 28,0,18,72,59,113,0,1,3,0,5,0,-13,-18,9,10,560
2006-04-15,03688dc3c3af3ac1,3,Jeff Monson,Marcio Cruz,1,1,Abe Belardo,30 - 27,Hector Hernandez,28 - 29,Alejandro Rochin,29 - 28,0,32,110,154,240,2,2,369,2006-04-15 00:00:00,0,27 - 30,29 - 28,28 - 29,0,40,106,51,118,0,5,69,0,-8,4,103,122,2,-3,300
2006-04-15,03688dc3c3af3ac1,3,Forrest Griffin,Tito Ortiz,0,1,Abe Belardo,29 - 28,Hector Hernandez,27 - 29,Cecil Peoples,27 - 30,0,58,170,81,200,0,0,14,2006-04-15 00:00:00,1,28 - 29,29 - 27,30 - 27,0,61,125,94,163,3,12,301,0,3,-45,13,-37,3,12,287
2006-09-23,13e62d766b709aa6,3,Danny Abbadi,Jorge Gurgel,0,1,Nelson Hamilton,29 - 28,Cecil Peoples,28 - 29,Alejandro Rochin,28 - 29,0,56,146,79,173,0,0,110,2006-09-23 00:00:00,1,28 - 29,29 - 28,29 - 28,0,58,159,101,208,1,7,123,0,2,13,22,35,1,7,13
2006-10-14,13b2f59210dda9cc,3,Carmelo Marrero,Cheick Kongo,1,1,Lester Griffin,28 - 29,Nelson Hamilton,28 - 29,Tony Weeks,29 - 28,0,16,31,70,88,6,10,542,2006-10-14 00:00:00,0,29 - 28,29 - 28,28 - 29,0,18,42,70,94,0,2,165,0,-2,-11,0,-6,6,8,377
2006-11-11,baf942f4bcb09894,3,Chris Lytle,Matt Serra,0,1,Lester Griffin,30 - 27,Marcos Rosales,30 - 27,Glenn Trowbridge,27 - 30,0,42,58,195,214,1,2,84,2006-11-11 00:00:00,1,27 - 30,27 - 30,30 - 27,0,20,39,91,114,1,16,493,0,-22,-19,-104,-100,0,14,409
2006-12-13,21b8a0f5c231096f,3,David Heath,Victor Valimaki,1,1,Nelson Hamilton,28 - 29,Cecil Peoples,29 - 28,Alejandro Rochin,28 - 29,0,44,132,48,136,0,0,5,2006-12-13 00:00:00,0,29 - 28,28 - 29,29 - 28,0,66,209,83,226,1,3,59,0,-22,-77,-35,-90,-1,-3,-54
2007-06-16,5ca158b1cc9cb242,3,Clay Guida,Tyson Griffin,0,1,Douglas Crosby,28 - 29,Jeff Mullen,29 - 28,Andy Roberts,29 - 28,0,36,65,82,114,4,14,471,2007-06-16 00:00:00,1,29 - 28,28 - 29,28 - 29,0,50,87,87,125,2,2,109,0,14,22,5,11,-2,-12,-362
2007-08-25,a5c53b3ddb31cc7d,3,Clay Guida,Marcus Aurelio,1,1,Adalaide Byrd,30 - 27,Jeff Collins,28 - 29,Patricia Morse Jarman,30 - 27,2,44,181,71,208,0,1,206,2007-08-25 00:00:00,0,27 - 30,29 - 28,27 - 30,0,40,135,47,142,0,3,0,2,4,46,24,66,0,-2,206
2007-09-08,0aa92558424ced9e,3,Matt Hamill,Michael Bisping,0,1,Jeff Mullen,28 - 29,Cecil Peoples,28 - 29,Chris Watts,30 - 27,0,56,124,88,165,6,12,248,2007-09-08 00:00:00,1,28 - 29,28 - 29,30 - 27,0,47,162,65,182,0,0,1,0,-9,38,-23,17,-6,-12,-247
2007-09-22,bad28b7b34f334de,3,Diego Sanchez,Jon Fitch,0,1,Richard Bertrand,27 - 30,Cecil Peoples,29 - 28,Marcos Rosales,28 - 29,0,11,18,25,34,2,9,216,2007-09-22 00:00:00,1,30 - 27,28 - 29,29 - 28,0,25,40,144,178,3,3,580,0,14,22,119,144,1,-6,364
2007-09-22,bad28b7b34f334de,3,Chuck Liddell,Keith Jardine,0,1,Richard Bertrand,28 - 29,Cecil Peoples,29 - 28,Marcos Rosales,28 - 29,0,31,138,31,138,0,0,0,2007-09-22 00:00:00,1,29 - 28,28 - 29,29 - 28,1,83,176,83,176,0,0,6,1,52,38,52,38,0,0,6
2007-10-20,91181b29be041f1c,3,Jason Black,Matt Grice,0,1,Nelson Hamilton,28 - 29,John Kloock,29 - 28,Jeff Mullen,28 - 29,0,10,20,43,56,0,1,36,2007-10-20 00:00:00,1,29 - 28,28 - 29,29 - 28,1,44,73,132,170,3,3,764,1,34,53,89,114,3,2,728
2009-05-23,c4b6099f0d25f75e,3,David Kaplan,George Roop,0,1,Sal D'Amato,28 - 29,Lester Griffin,30 - 27,Tony Weeks,30 - 27,0,50,105,98,158,5,14,314,2009-05-23 00:00:00,1,29 - 28,27 - 30,27 - 30,0,62,226,133,302,0,0,0,0,12,121,35,144,-5,-14,-314
2009-08-08,48d1f690b763934c,3,Alessio Sakara,Thales Leites,1,1,Jeff Blatnick,29 - 28,Nelson Hamilton,27 - 30,Cardo Urso,29 - 28,0,24,83,25,84,0,0,33,2009-08-08 00:00:00,0,28 - 29,30 - 27,28 - 29,0,22,102,35,120,4,12,161,0,2,-19,-10,-36,-4,-12,-128
2009-08-08,48d1f690b763934c,3,John Howard,Tamdan McCrory,1,1,Douglas Crosby,29 - 28,Brad Duruttya,28 - 29,Cardo Urso,29 - 28,0,19,37,58,78,5,7,507,2009-08-08 00:00:00,0,28 - 29,29 - 28,28 - 29,0,11,46,44,83,2,6,182,0,8,-9,14,-5,3,1,325
2009-08-29,c6a33ff198aaaeeb,3,Mark Munoz,Nick Catone,1,1,Ken Barringer,27 - 30,Marcos Rosales,28 - 29,Glenn Trowbridge,29 - 28,0,53,102,75,127,2,12,248,2009-08-29 00:00:00,0,27 - 30,28 - 29,29 - 28,0,38,82,55,99,3,6,190,0,15,20,20,28,-1,6,58
2009-08-29,c6a33ff198aaaeeb,3,Evan Dunham,Marcus Aurelio,1,1,Lester Griffin,29 - 28,Nelson Hamilton,28 - 29,Jana Richmond,30 - 27,1,58,161,70,175,1,1,61,2009-08-29 00:00:00,0,28 - 29,29 - 28,27 - 30,0,27,102,57,133,3,15,253,1,31,59,13,42,-2,-14,-192
2009-09-16,a8ea84cbe1655f0a,3,Gray Maynard,Roger Huerta,1,1,Chris Lee,28 - 29,Cecil Peoples,30 - 27,Glenn Trowbridge,30 - 27,0,23,79,43,100,3,7,194,2009-09-16 00:00:00,0,29 - 28,27 - 30,27 - 30,0,40,166,62,192,0,0,60,0,-17,-87,-19,-92,3,7,134
2009-09-16,a8ea84cbe1655f0a,3,Carlos Condit,Jake Ellenberger,1,1,Sal D'Amato,29 - 28,Chris Lee,29 - 28,Cecil Peoples,28 - 29,0,27,70,168,222,1,2,238,2009-09-16 00:00:00,0,28 - 29,28 - 29,29 - 28,2,28,59,55,93,3,4,406,-2,-1,11,113,129,-2,-2,-168
2009-09-19,896c322f56b8be5a,3,Eliot Marshall,Jason Brilz,1,1,Kent Basinger,27 - 30,Chris Lee,27 - 30,Cecil Peoples,30 - 27,0,29,117,53,141,0,0,24,2009-09-19 00:00:00,0,30 - 27,30 - 27,27 - 30,0,27,105,64,145,0,16,220,0,2,12,-11,-4,0,-16,-196
2009-10-24,7c0847d3854a95f2,3,Kyle Kingsbury,Razak Al-Hassan,1,1,Nelson Hamilton,28 - 29,Cecil Peoples,29 - 28,Susan Thomas Gitlin,29 - 28,0,25,98,76,149,2,6,329,2009-10-24 00:00:00,0,29 - 28,28 - 29,28 - 29,0,31,79,45,93,1,4,228,0,-6,19,31,56,1,2,101
2009-11-21,84a067c46306a737,3,Forrest Griffin,Tito Ortiz,1,1,Lester Griffin,28 - 29,Marcos Rosales,30 - 27,Glenn Trowbridge,29 - 28,0,70,206,91,231,0,1,71,2009-11-21 00:00:00,0,29 - 28,27 - 30,28 - 29,0,24,75,56,109,3,9,249,0,46,131,35,122,-3,-8,-178
2009-12-05,91d73ee59347ac16,3,Jon Madsen,Justin Wren,1,1,Adalaide Byrd,30 - 27,Sal D'Amato,29 - 28,Glenn Trowbridge,28 - 29,0,26,100,26,100,0,1,0,2009-12-05 00:00:00,0,27 - 30,28 - 29,29 - 28,0,17,159,17,159,0,1,16,0,9,-59,9,-59,0,0,-16
2010-01-11,58bc81376286b3d3,3,Aaron Simpson,Tom Lawlor,1,1,Jeff Blatnick,28 - 29,Douglas Crosby,29 - 28,Sal D'Amato,29 - 28,0,36,108,74,149,2,6,268,2010-01-11 00:00:00,0,29 - 28,28 - 29,28 - 29,0,52,128,60,136,1,6,157,0,-16,-20,14,13,1,0,111
2010-01-11,58bc81376286b3d3,3,Jesse Lennox,Rick Story,0,1,Jeff Blatnick,27 - 30,Eric Colon,29 - 28,Cardo Urso,27 - 30,0,22,128,24,130,1,2,63,2010-01-11 00:00:00,1,30 - 27,28 - 29,30 - 27,0,47,172,67,192,2,3,263,0,25,44,43,62,1,1,200
2010-01-11,58bc81376286b3d3,3,Jesse Forbes,Nick Catone,0,1,Douglas Crosby,28 - 29,Sal D'Amato,29 - 28,Clark Walters,28 - 29,0,32,160,40,168,0,1,68,2010-01-11 00:00:00,1,29 - 28,28 - 29,29 - 28,0,32,103,65,140,2,9,98,0,0,-57,25,-28,2,8,30
2010-01-11,58bc81376286b3d3,3,Gray Maynard,Nate Diaz,1,1,Douglas Crosby,28 - 29,Sal D'Amato,30 - 27,Cardo Urso,29 - 28,0,41,142,53,154,0,0,11,2010-01-11 00:00:00,0,29 - 28,27 - 30,28 - 29,0,70,251,77,259,0,3,0,0,-29,-109,-24,-105,0,-3,11
2010-03-21,3795fca327cbcf23,3,Eliot Marshall,Vladimir Matyushenko,0,1,Don Bates,30 - 27,Joe Garcia,28 - 29,Curtis Thrasher,30 - 27,0,19,97,19,97,0,0,0,2010-03-21 00:00:00,1,27 - 30,29 - 28,27 - 30,0,28,91,35,98,2,3,87,0,9,-6,16,1,2,3,87
2010-04-10,24b033b3daf1c9df,3,Nick Osipczak,Rick Story,0,1,Sal D'Amato,28 - 29,Howard Hughes,29 - 28,Andy Roberts,28 - 29,0,28,41,49,63,2,4,147,2010-04-10 00:00:00,1,29 - 28,28 - 29,29 - 28,0,31,72,83,130,3,10,595,0,3,31,34,67,1,6,448
2010-05-08,d0c29452d3272603,3,Jeremy Stephens,Sam Stout,1,1,Pasquale Procopio,30 - 27,David Therien,29 - 28,Tony Weeks,28 - 29,1,55,119,64,128,3,5,72,2010-05-08 00:00:00,0,27 - 30,28 - 29,29 - 28,1,70,181,76,187,0,1,48,0,-15,-62,-12,-59,3,4,24
2010-05-29,bfc2fc38a0e20211,3,Jason Brilz,Rogerio Nogueira,0,1,Patricia Morse Jarman,28 - 29,Marcos Rosales,29 - 28,Tony Weeks,28 - 29,0,18,50,41,80,3,13,297,2010-05-29 00:00:00,1,29 - 28,28 - 29,29 - 28,0,23,67,42,90,1,1,173,0,5,17,1,10,-2,-12,-124
2010-06-12,cfb65863d5099327,3,Evan Dunham,Tyson Griffin,1,1,Chris Franco,30 - 27,Lance Gibson,28 - 29,Tony Weeks,29 - 28,0,28,73,52,107,3,6,535,2010-06-12 00:00:00,0,27 - 30,29 - 28,28 - 29,0,26,70,62,117,0,2,18,0,2,3,-10,-10,3,4,517
2010-07-03,140745cbbcb023ac,3,Goran Reljic,Kendall Grove,0,1,Patricia Morse Jarman,30 - 27,Cecil Peoples,28 - 29,Roy Silbert,29 - 28,0,14,56,27,73,3,5,404,2010-07-03 00:00:00,1,27 - 30,29 - 28,28 - 29,0,28,89,83,146,1,1,27,0,14,33,56,73,-2,-4,-377
2010-07-03,140745cbbcb023ac,3,Daniel Roberts,Forrest Petz,1,1,Patricia Morse Jarman,28 - 29,Roy Silbert,29 - 28,Tony Weeks,29 - 28,0,5,44,45,93,6,9,433,2010-07-03 00:00:00,0,29 - 28,28 - 29,28 - 29,0,21,69,47,97,1,1,56,0,-16,-25,-2,-4,5,8,377
2010-08-01,f12f979b657ab876,3,Mark Munoz,Yushin Okami,0,1,Luis Cobian,28 - 29,Lester Griffin,29 - 28,Cecil Peoples,28 - 29,1,16,44,19,48,1,15,88,2010-08-01 00:00:00,1,29 - 28,28 - 29,29 - 28,1,22,83,101,162,1,1,302,0,6,39,82,114,0,-14,214
2010-09-25,ad32471f01e7b1a5,3,Evan Dunham,Sean Sherk,0,1,Kelvin Caldwell,29 - 28,Cecil Peoples,28 - 29,Glenn Trowbridge,28 - 29,0,75,164,123,216,0,0,34,2010-09-25 00:00:00,1,28 - 29,29 - 28,29 - 28,0,38,115,81,165,5,18,490,0,-37,-49,-42,-51,5,18,456
2010-09-25,ad32471f01e7b1a5,3,Steve Lopez,Waylon Lowe,0,1,Cecil Peoples,29 - 28,Dave Stone,28 - 29,Otto Torriero,29 - 28,0,23,71,68,117,0,0,0,2010-09-25 00:00:00,1,28 - 29,29 - 28,28 - 29,0,26,61,74,118,5,7,412,0,3,-10,6,1,5,7,412
2010-09-25,ad32471f01e7b1a5,3,Jeremy Stephens,Melvin Guillard,0,1,Kelvin Caldwell,29 - 28,Sal D'Amato,28 - 29,Otto Torriero,27 - 30,1,62,155,62,155,0,2,2,2010-09-25 00:00:00,1,28 - 29,29 - 28,30 - 27,0,73,168,73,168,0,1,0,-1,11,13,11,13,0,-1,-2
2010-10-23,afdb76fbd86f6d11,3,Jake Shields,Martin Kampmann,1,1,Nelson Hamilton,29 - 28,Larry Landless,27 - 30,Cecil Peoples,28 - 29,0,25,46,53,80,4,15,448,2010-10-23 00:00:00,0,28 - 29,30 - 27,29 - 28,0,35,54,57,77,0,0,195,0,-10,-8,-4,3,4,15,253
2010-10-23,afdb76fbd86f6d11,3,Chris Camozzi,Dongi Yang,1,1,Nelson Hamilton,28 - 29,Larry Landless,28 - 29,Cecil Peoples,29 - 28,0,74,130,85,145,0,1,37,2010-10-23 00:00:00,0,29 - 28,29 - 28,28 - 29,0,51,98,60,117,3,5,127,0,23,32,25,28,-3,-4,-90
2010-10-23,afdb76fbd86f6d11,3,Paul Taylor,Sam Stout,0,1,Mike Beltran,29 - 28,Larry Landless,28 - 29,Cecil Peoples,30 - 27,0,140,296,140,296,0,3,0,2010-10-23 00:00:00,1,28 - 29,29 - 28,27 - 30,0,107,295,108,296,1,2,27,0,-33,-1,-32,0,1,-1,27
2010-11-13,0ff11cc094e887bc,3,Duane Ludwig,Nick Osipczak,1,1,Richard Bertrand,29 - 28,Howard Hughes,29 - 28,Chris Watts,28 - 29,0,99,231,106,238,0,4,63,2010-11-13 00:00:00,0,28 - 29,28 - 29,29 - 28,2,60,110,84,135,2,5,237,-2,39,121,22,103,-2,-1,-174
2010-11-20,dd992d569aaebee6,3,Lyoto Machida,Quinton Jackson,0,1,Jeff Blatnick,29 - 28,Sal D'Amato,28 - 29,Nelson Hamilton,28 - 29,0,33,51,53,71,1,3,278,2010-11-20 00:00:00,1,28 - 29,29 - 28,29 - 28,0,16,49,70,104,1,1,141,0,-17,-2,17,33,0,-2,-137
2010-11-20,dd992d569aaebee6,3,Nik Lentz,Tyson Griffin,1,1,Jeff Blatnick,28 - 29,Sal D'Amato,28 - 29,Nelson Hamilton,30 - 27,0,34,59,75,102,4,8,204,2010-11-20 00:00:00,0,29 - 28,29 - 28,27 - 30,1,31,60,66,102,8,13,427,-1,3,-1,9,0,-4,-5,-223
2010-12-04,5d7bdab5e03e3216,3,Leonard Garcia,Nam Phan,1,1,Adalaide Byrd,28 - 29,Junichiro Kamijo,30 - 27,Tony Weeks,28 - 29,0,64,282,70,288,2,3,56,2010-12-04 00:00:00,0,29 - 28,27 - 30,29 - 28,0,102,227,116,241,0,0,161,0,-38,55,-46,47,2,3,-105
2010-12-11,132f860d02953f4c,3,Dan Miller,Joe Doerksen,1,1,Sal D'Amato,28 - 29,Richard DeCarufel,29 - 28,Tony Weeks,28 - 29,0,18,47,121,186,5,5,715,2010-12-11 00:00:00,0,29 - 28,28 - 29,29 - 28,0,12,29,135,162,0,0,77,0,6,18,-14,24,5,5,638
2011-01-01,d1152823307d7e7c,3,Antonio McKee,Jacob Volkmann,0,1,Junichiro Kamijo,29 - 28,Glenn Trowbridge,28 - 29,Tony Weeks,28 - 29,0,25,55,41,75,1,4,168,2011-01-01 00:00:00,1,28 - 29,29 - 28,29 - 28,0,10,47,21,58,1,2,264,0,-15,-8,-20,-17,0,-2,96
2011-01-01,d1152823307d7e7c,3,Diego Nunes,Mike Brown,1,1,Lester Griffin,28 - 29,Patricia Morse Jarman,29 - 28,Glenn Trowbridge,28 - 29,0,65,111,75,122,0,1,130,2011-01-01 00:00:00,0,29 - 28,28 - 29,29 - 28,0,68,117,101,164,4,16,295,0,-3,-6,-26,-42,-4,-15,-165
2011-02-05,65ddc8a9ac4e8531,3,Carlos Eduardo Rocha,Jake Ellenberger,0,1,Abe Belardo,30 - 27,Adalaide Byrd,28 - 29,Junichiro Kamijo,28 - 29,0,21,76,32,88,0,5,214,2011-02-05 00:00:00,1,27 - 30,29 - 28,29 - 28,0,25,76,41,98,3,5,105,0,4,0,9,10,3,0,-109
